node1	node2	sample
NewZetaOtu11	NewZetaOtu20	S1
NewZetaOtu11	NewZetaOtu21	S1
NewZetaOtu11	NewZetaOtu22	S1
NewZetaOtu11	NewZetaOtu23	S1
NewZetaOtu11	NewZetaOtu24	S1
NewZetaOtu11	NewZetaOtu25	S1
NewZetaOtu11	NewZetaOtu26	S1
NewZetaOtu11	NewZetaOtu27	S1
NewZetaOtu11	NewZetaOtu28	S1
NewZetaOtu11	NewZetaOtu29	S1
NewZetaOtu11	NewZetaOtu30	S1
NewZetaOtu11	NewZetaOtu31	S1
NewZetaOtu11	NewZetaOtu32	S1
NewZetaOtu12	NewZetaOtu13	S1
NewZetaOtu12	NewZetaOtu14	S1
NewZetaOtu12	NewZetaOtu15	S1
NewZetaOtu12	NewZetaOtu16	S1
NewZetaOtu12	NewZetaOtu17	S1
NewZetaOtu12	NewZetaOtu18	S1
NewZetaOtu12	NewZetaOtu19	S1
NewZetaOtu12	NewZetaOtu20	S1
NewZetaOtu12	NewZetaOtu21	S1
NewZetaOtu12	NewZetaOtu22	S1
NewZetaOtu12	NewZetaOtu23	S1
NewZetaOtu12	NewZetaOtu24	S1
NewZetaOtu12	NewZetaOtu25	S1
NewZetaOtu12	NewZetaOtu26	S1
NewZetaOtu12	NewZetaOtu27	S1
NewZetaOtu12	NewZetaOtu28	S1
NewZetaOtu12	NewZetaOtu29	S1
NewZetaOtu12	NewZetaOtu30	S1
NewZetaOtu12	NewZetaOtu31	S1
NewZetaOtu12	NewZetaOtu32	S1
NewZetaOtu13	NewZetaOtu14	S1
NewZetaOtu13	NewZetaOtu15	S1
NewZetaOtu13	NewZetaOtu16	S1
NewZetaOtu13	NewZetaOtu17	S1
NewZetaOtu13	NewZetaOtu18	S1
NewZetaOtu13	NewZetaOtu19	S1
NewZetaOtu13	NewZetaOtu20	S1
NewZetaOtu13	NewZetaOtu21	S1
NewZetaOtu13	NewZetaOtu22	S1
NewZetaOtu13	NewZetaOtu23	S1
NewZetaOtu13	NewZetaOtu24	S1
NewZetaOtu13	NewZetaOtu25	S1
NewZetaOtu13	NewZetaOtu26	S1
NewZetaOtu13	NewZetaOtu27	S1
NewZetaOtu13	NewZetaOtu28	S1
NewZetaOtu13	NewZetaOtu29	S1
NewZetaOtu13	NewZetaOtu30	S1
NewZetaOtu13	NewZetaOtu31	S1
NewZetaOtu13	NewZetaOtu32	S1
NewZetaOtu14	NewZetaOtu15	S1
NewZetaOtu14	NewZetaOtu16	S1
NewZetaOtu14	NewZetaOtu17	S1
NewZetaOtu14	NewZetaOtu18	S1
NewZetaOtu14	NewZetaOtu19	S1
NewZetaOtu14	NewZetaOtu20	S1
NewZetaOtu14	NewZetaOtu21	S1
NewZetaOtu14	NewZetaOtu22	S1
NewZetaOtu14	NewZetaOtu23	S1
NewZetaOtu14	NewZetaOtu24	S1
NewZetaOtu14	NewZetaOtu25	S1
NewZetaOtu14	NewZetaOtu26	S1
NewZetaOtu14	NewZetaOtu27	S1
NewZetaOtu14	NewZetaOtu28	S1
NewZetaOtu14	NewZetaOtu29	S1
NewZetaOtu14	NewZetaOtu30	S1
NewZetaOtu14	NewZetaOtu31	S1
NewZetaOtu14	NewZetaOtu32	S1
NewZetaOtu15	NewZetaOtu16	S1
NewZetaOtu15	NewZetaOtu17	S1
NewZetaOtu15	NewZetaOtu18	S1
NewZetaOtu15	NewZetaOtu19	S1
NewZetaOtu15	NewZetaOtu20	S1
NewZetaOtu15	NewZetaOtu21	S1
NewZetaOtu15	NewZetaOtu22	S1
NewZetaOtu15	NewZetaOtu23	S1
NewZetaOtu15	NewZetaOtu24	S1
NewZetaOtu15	NewZetaOtu25	S1
NewZetaOtu15	NewZetaOtu26	S1
NewZetaOtu15	NewZetaOtu27	S1
NewZetaOtu15	NewZetaOtu28	S1
NewZetaOtu15	NewZetaOtu29	S1
NewZetaOtu15	NewZetaOtu30	S1
NewZetaOtu15	NewZetaOtu31	S1
NewZetaOtu15	NewZetaOtu32	S1
NewZetaOtu16	NewZetaOtu17	S1
NewZetaOtu16	NewZetaOtu18	S1
NewZetaOtu16	NewZetaOtu19	S1
NewZetaOtu16	NewZetaOtu20	S1
NewZetaOtu16	NewZetaOtu21	S1
NewZetaOtu16	NewZetaOtu22	S1
NewZetaOtu16	NewZetaOtu23	S1
NewZetaOtu16	NewZetaOtu24	S1
NewZetaOtu16	NewZetaOtu25	S1
NewZetaOtu16	NewZetaOtu26	S1
NewZetaOtu16	NewZetaOtu27	S1
NewZetaOtu16	NewZetaOtu28	S1
NewZetaOtu16	NewZetaOtu29	S1
NewZetaOtu16	NewZetaOtu30	S1
NewZetaOtu16	NewZetaOtu31	S1
NewZetaOtu16	NewZetaOtu32	S1
NewZetaOtu17	NewZetaOtu18	S1
NewZetaOtu17	NewZetaOtu19	S1
NewZetaOtu17	NewZetaOtu20	S1
NewZetaOtu17	NewZetaOtu21	S1
NewZetaOtu17	NewZetaOtu22	S1
NewZetaOtu17	NewZetaOtu23	S1
NewZetaOtu17	NewZetaOtu24	S1
NewZetaOtu17	NewZetaOtu25	S1
NewZetaOtu17	NewZetaOtu26	S1
NewZetaOtu17	NewZetaOtu27	S1
NewZetaOtu17	NewZetaOtu28	S1
NewZetaOtu17	NewZetaOtu29	S1
NewZetaOtu17	NewZetaOtu30	S1
NewZetaOtu17	NewZetaOtu31	S1
NewZetaOtu17	NewZetaOtu32	S1
NewZetaOtu18	NewZetaOtu19	S1
NewZetaOtu18	NewZetaOtu20	S1
NewZetaOtu18	NewZetaOtu21	S1
NewZetaOtu18	NewZetaOtu22	S1
NewZetaOtu18	NewZetaOtu23	S1
NewZetaOtu18	NewZetaOtu24	S1
NewZetaOtu18	NewZetaOtu25	S1
NewZetaOtu18	NewZetaOtu26	S1
NewZetaOtu18	NewZetaOtu27	S1
NewZetaOtu18	NewZetaOtu28	S1
NewZetaOtu18	NewZetaOtu29	S1
NewZetaOtu18	NewZetaOtu30	S1
NewZetaOtu18	NewZetaOtu31	S1
NewZetaOtu18	NewZetaOtu32	S1
NewZetaOtu19	NewZetaOtu20	S1
NewZetaOtu19	NewZetaOtu21	S1
NewZetaOtu19	NewZetaOtu22	S1
NewZetaOtu19	NewZetaOtu23	S1
NewZetaOtu19	NewZetaOtu24	S1
NewZetaOtu19	NewZetaOtu25	S1
NewZetaOtu19	NewZetaOtu26	S1
NewZetaOtu19	NewZetaOtu27	S1
NewZetaOtu19	NewZetaOtu28	S1
NewZetaOtu19	NewZetaOtu29	S1
NewZetaOtu19	NewZetaOtu30	S1
NewZetaOtu19	NewZetaOtu31	S1
NewZetaOtu19	NewZetaOtu32	S1
NewZetaOtu20	NewZetaOtu21	S1
NewZetaOtu20	NewZetaOtu22	S1
NewZetaOtu20	NewZetaOtu23	S1
NewZetaOtu20	NewZetaOtu24	S1
NewZetaOtu20	NewZetaOtu25	S1
NewZetaOtu20	NewZetaOtu26	S1
NewZetaOtu20	NewZetaOtu27	S1
NewZetaOtu20	NewZetaOtu28	S1
NewZetaOtu20	NewZetaOtu29	S1
NewZetaOtu20	NewZetaOtu30	S1
NewZetaOtu20	NewZetaOtu31	S1
NewZetaOtu20	NewZetaOtu32	S1
NewZetaOtu21	NewZetaOtu22	S1
NewZetaOtu21	NewZetaOtu23	S1
NewZetaOtu21	NewZetaOtu24	S1
NewZetaOtu21	NewZetaOtu25	S1
NewZetaOtu21	NewZetaOtu26	S1
NewZetaOtu21	NewZetaOtu27	S1
NewZetaOtu21	NewZetaOtu28	S1
NewZetaOtu21	NewZetaOtu29	S1
NewZetaOtu21	NewZetaOtu30	S1
NewZetaOtu21	NewZetaOtu31	S1
NewZetaOtu21	NewZetaOtu32	S1
NewZetaOtu22	NewZetaOtu23	S1
NewZetaOtu22	NewZetaOtu24	S1
NewZetaOtu22	NewZetaOtu25	S1
NewZetaOtu22	NewZetaOtu26	S1
NewZetaOtu22	NewZetaOtu27	S1
NewZetaOtu22	NewZetaOtu28	S1
NewZetaOtu22	NewZetaOtu29	S1
NewZetaOtu22	NewZetaOtu30	S1
NewZetaOtu22	NewZetaOtu31	S1
NewZetaOtu22	NewZetaOtu32	S1
NewZetaOtu23	NewZetaOtu24	S1
NewZetaOtu23	NewZetaOtu25	S1
NewZetaOtu23	NewZetaOtu26	S1
NewZetaOtu23	NewZetaOtu27	S1
NewZetaOtu23	NewZetaOtu28	S1
NewZetaOtu23	NewZetaOtu29	S1
NewZetaOtu23	NewZetaOtu30	S1
NewZetaOtu23	NewZetaOtu31	S1
NewZetaOtu23	NewZetaOtu32	S1
